"scenario" "n" "p" "s0" "SNR" "corDesign" "pB" "s0B"
1 100 1000 10 0.5 "low" 0 0
2 100 1000 10 0.5 "high" 10 1
3 100 1000 10 0.5 "high" 10 2
4 100 1000 10 0.5 "high" 10 5
5 100 1000 10 1 "low" 0 0
6 100 1000 10 1 "high" 10 1
7 100 1000 10 1 "high" 10 2
8 100 1000 10 1 "high" 10 5
9 100 1000 10 2 "low" 0 0
10 100 1000 10 2 "high" 10 1
11 100 1000 10 2 "high" 10 2
12 100 1000 10 2 "high" 10 5
13 100 1000 10 4 "low" 0 0
14 100 1000 10 4 "high" 10 1
15 100 1000 10 4 "high" 10 2
16 100 1000 10 4 "high" 10 5
17 100 1000 20 0.5 "low" 0 0
18 100 1000 20 0.5 "high" 10 1
19 100 1000 20 0.5 "high" 10 2
20 100 1000 20 0.5 "high" 10 5
21 100 1000 20 1 "low" 0 0
22 100 1000 20 1 "high" 10 1
23 100 1000 20 1 "high" 10 2
24 100 1000 20 1 "high" 10 5
25 100 1000 20 2 "low" 0 0
26 100 1000 20 2 "high" 10 1
27 100 1000 20 2 "high" 10 2
28 100 1000 20 2 "high" 10 5
29 100 1000 20 4 "low" 0 0
30 100 1000 20 4 "high" 10 1
31 100 1000 20 4 "high" 10 2
32 100 1000 20 4 "high" 10 5
33 100 1000 40 0.5 "low" 0 0
34 100 1000 40 0.5 "high" 10 1
35 100 1000 40 0.5 "high" 10 2
36 100 1000 40 0.5 "high" 10 5
37 100 1000 40 1 "low" 0 0
38 100 1000 40 1 "high" 10 1
39 100 1000 40 1 "high" 10 2
40 100 1000 40 1 "high" 10 5
41 100 1000 40 2 "low" 0 0
42 100 1000 40 2 "high" 10 1
43 100 1000 40 2 "high" 10 2
44 100 1000 40 2 "high" 10 5
45 100 1000 40 4 "low" 0 0
46 100 1000 40 4 "high" 10 1
47 100 1000 40 4 "high" 10 2
48 100 1000 40 4 "high" 10 5
49 100 2000 10 0.5 "low" 0 0
50 100 2000 10 0.5 "high" 10 1
51 100 2000 10 0.5 "high" 10 2
52 100 2000 10 0.5 "high" 10 5
53 100 2000 10 1 "low" 0 0
54 100 2000 10 1 "high" 10 1
55 100 2000 10 1 "high" 10 2
56 100 2000 10 1 "high" 10 5
57 100 2000 10 2 "low" 0 0
58 100 2000 10 2 "high" 10 1
59 100 2000 10 2 "high" 10 2
60 100 2000 10 2 "high" 10 5
61 100 2000 10 4 "low" 0 0
62 100 2000 10 4 "high" 10 1
63 100 2000 10 4 "high" 10 2
64 100 2000 10 4 "high" 10 5
65 100 2000 20 0.5 "low" 0 0
66 100 2000 20 0.5 "high" 10 1
67 100 2000 20 0.5 "high" 10 2
68 100 2000 20 0.5 "high" 10 5
69 100 2000 20 1 "low" 0 0
70 100 2000 20 1 "high" 10 1
71 100 2000 20 1 "high" 10 2
72 100 2000 20 1 "high" 10 5
73 100 2000 20 2 "low" 0 0
74 100 2000 20 2 "high" 10 1
75 100 2000 20 2 "high" 10 2
76 100 2000 20 2 "high" 10 5
77 100 2000 20 4 "low" 0 0
78 100 2000 20 4 "high" 10 1
79 100 2000 20 4 "high" 10 2
80 100 2000 20 4 "high" 10 5
81 100 2000 40 0.5 "low" 0 0
82 100 2000 40 0.5 "high" 10 1
83 100 2000 40 0.5 "high" 10 2
84 100 2000 40 0.5 "high" 10 5
85 100 2000 40 1 "low" 0 0
86 100 2000 40 1 "high" 10 1
87 100 2000 40 1 "high" 10 2
88 100 2000 40 1 "high" 10 5
89 100 2000 40 2 "low" 0 0
90 100 2000 40 2 "high" 10 1
91 100 2000 40 2 "high" 10 2
92 100 2000 40 2 "high" 10 5
93 100 2000 40 4 "low" 0 0
94 100 2000 40 4 "high" 10 1
95 100 2000 40 4 "high" 10 2
96 100 2000 40 4 "high" 10 5
97 100 4000 10 0.5 "low" 0 0
98 100 4000 10 0.5 "high" 10 1
99 100 4000 10 0.5 "high" 10 2
100 100 4000 10 0.5 "high" 10 5
101 100 4000 10 1 "low" 0 0
102 100 4000 10 1 "high" 10 1
