"scenario" "n" "p" "s0" "SNR" "corDesign" "rho" "pB" "s0B"
1 100 1000 10 0.5 "Independence" 0 0 0
2 100 1000 10 1 "Independence" 0 0 0
3 100 1000 10 1 "Pairwise" 0.5 100 1
4 100 1000 10 1 "Pairwise" 0.5 100 2
5 100 1000 10 1 "Pairwise" 0.5 100 5
6 100 1000 10 1 "Pairwise" 0.5 10 1
7 100 1000 10 1 "Pairwise" 0.5 10 2
8 100 1000 10 1 "Pairwise" 0.5 10 5
9 100 1000 10 1 "Pairwise" 0.7 100 1
10 100 1000 10 1 "Pairwise" 0.7 100 2
11 100 1000 10 1 "Pairwise" 0.7 100 5
12 100 1000 10 1 "Pairwise" 0.7 10 1
13 100 1000 10 1 "Pairwise" 0.7 10 2
14 100 1000 10 1 "Pairwise" 0.7 10 5
15 100 1000 10 1 "Pairwise" 0.9 100 1
16 100 1000 10 1 "Pairwise" 0.9 100 2
17 100 1000 10 1 "Pairwise" 0.9 100 5
18 100 1000 10 1 "Pairwise" 0.9 10 1
19 100 1000 10 1 "Pairwise" 0.9 10 2
20 100 1000 10 1 "Pairwise" 0.9 10 5
21 100 1000 10 1 "Toeplitz" 0.7 100 2
22 100 1000 10 2 "Independence" 0 0 0
23 100 1000 10 2 "Pairwise" 0.5 100 1
24 100 1000 10 2 "Pairwise" 0.5 100 2
25 100 1000 10 2 "Pairwise" 0.5 100 5
26 100 1000 10 2 "Pairwise" 0.5 10 1
27 100 1000 10 2 "Pairwise" 0.5 10 2
28 100 1000 10 2 "Pairwise" 0.5 10 5
29 100 1000 10 2 "Pairwise" 0.7 100 1
30 100 1000 10 2 "Pairwise" 0.7 100 2
31 100 1000 10 2 "Pairwise" 0.7 100 5
32 100 1000 10 2 "Pairwise" 0.7 10 1
33 100 1000 10 2 "Pairwise" 0.7 10 2
34 100 1000 10 2 "Pairwise" 0.7 10 5
35 100 1000 10 2 "Pairwise" 0.9 100 1
36 100 1000 10 2 "Pairwise" 0.9 100 2
37 100 1000 10 2 "Pairwise" 0.9 100 5
38 100 1000 10 2 "Pairwise" 0.9 10 1
39 100 1000 10 2 "Pairwise" 0.9 10 2
40 100 1000 10 2 "Pairwise" 0.9 10 5
41 100 1000 10 2 "Toeplitz" 0.7 100 2
42 100 1000 10 4 "Independence" 0 0 0
43 100 1000 10 4 "Pairwise" 0.5 100 1
44 100 1000 10 4 "Pairwise" 0.5 100 2
45 100 1000 10 4 "Pairwise" 0.5 100 5
46 100 1000 10 4 "Pairwise" 0.5 10 1
47 100 1000 10 4 "Pairwise" 0.5 10 2
48 100 1000 10 4 "Pairwise" 0.5 10 5
49 100 1000 10 4 "Pairwise" 0.7 100 1
50 100 1000 10 4 "Pairwise" 0.7 100 2
51 100 1000 10 4 "Pairwise" 0.7 100 5
52 100 1000 10 4 "Pairwise" 0.7 10 1
53 100 1000 10 4 "Pairwise" 0.7 10 2
54 100 1000 10 4 "Pairwise" 0.7 10 5
55 100 1000 10 4 "Pairwise" 0.9 100 1
56 100 1000 10 4 "Pairwise" 0.9 100 2
57 100 1000 10 4 "Pairwise" 0.9 100 5
58 100 1000 10 4 "Pairwise" 0.9 10 1
59 100 1000 10 4 "Pairwise" 0.9 10 2
60 100 1000 10 4 "Pairwise" 0.9 10 5
61 100 1000 10 4 "Toeplitz" 0.7 100 2
62 100 1000 20 0.5 "Independence" 0 0 0
63 100 1000 20 1 "Independence" 0 0 0
64 100 1000 20 1 "Pairwise" 0.5 100 2
65 100 1000 20 1 "Pairwise" 0.5 100 5
66 100 1000 20 1 "Pairwise" 0.5 10 1
67 100 1000 20 1 "Pairwise" 0.5 10 2
68 100 1000 20 1 "Pairwise" 0.5 10 5
69 100 1000 20 1 "Pairwise" 0.7 100 2
70 100 1000 20 1 "Pairwise" 0.7 100 5
71 100 1000 20 1 "Pairwise" 0.7 10 1
72 100 1000 20 1 "Pairwise" 0.7 10 2
73 100 1000 20 1 "Pairwise" 0.7 10 5
74 100 1000 20 1 "Pairwise" 0.9 100 2
75 100 1000 20 1 "Pairwise" 0.9 100 5
76 100 1000 20 1 "Pairwise" 0.9 10 1
77 100 1000 20 1 "Pairwise" 0.9 10 2
78 100 1000 20 1 "Pairwise" 0.9 10 5
79 100 1000 20 1 "Toeplitz" 0.7 100 2
80 100 1000 20 2 "Independence" 0 0 0
81 100 1000 20 2 "Pairwise" 0.5 100 2
82 100 1000 20 2 "Pairwise" 0.5 100 5
83 100 1000 20 2 "Pairwise" 0.5 10 1
84 100 1000 20 2 "Pairwise" 0.5 10 2
85 100 1000 20 2 "Pairwise" 0.5 10 5
86 100 1000 20 2 "Pairwise" 0.7 100 2
87 100 1000 20 2 "Pairwise" 0.7 100 5
88 100 1000 20 2 "Pairwise" 0.7 10 1
89 100 1000 20 2 "Pairwise" 0.7 10 2
90 100 1000 20 2 "Pairwise" 0.7 10 5
91 100 1000 20 2 "Pairwise" 0.9 100 2
92 100 1000 20 2 "Pairwise" 0.9 100 5
93 100 1000 20 2 "Pairwise" 0.9 10 1
94 100 1000 20 2 "Pairwise" 0.9 10 2
95 100 1000 20 2 "Pairwise" 0.9 10 5
96 100 1000 20 2 "Toeplitz" 0.7 100 2
97 100 1000 20 4 "Independence" 0 0 0
98 100 1000 20 4 "Pairwise" 0.5 100 2
99 100 1000 20 4 "Pairwise" 0.5 100 5
100 100 1000 20 4 "Pairwise" 0.5 10 1
101 100 1000 20 4 "Pairwise" 0.5 10 2
102 100 1000 20 4 "Pairwise" 0.5 10 5
103 100 1000 20 4 "Pairwise" 0.7 100 2
104 100 1000 20 4 "Pairwise" 0.7 100 5
105 100 1000 20 4 "Pairwise" 0.7 10 1
106 100 1000 20 4 "Pairwise" 0.7 10 2
107 100 1000 20 4 "Pairwise" 0.7 10 5
108 100 1000 20 4 "Pairwise" 0.9 100 2
109 100 1000 20 4 "Pairwise" 0.9 100 5
110 100 1000 20 4 "Pairwise" 0.9 10 1
111 100 1000 20 4 "Pairwise" 0.9 10 2
112 100 1000 20 4 "Pairwise" 0.9 10 5
113 100 1000 20 4 "Toeplitz" 0.7 100 2
114 100 1000 40 0.5 "Independence" 0 0 0
115 100 1000 40 1 "Independence" 0 0 0
116 100 1000 40 1 "Pairwise" 0.5 100 5
117 100 1000 40 1 "Pairwise" 0.5 10 1
118 100 1000 40 1 "Pairwise" 0.5 10 2
119 100 1000 40 1 "Pairwise" 0.5 10 5
120 100 1000 40 1 "Pairwise" 0.7 100 5
121 100 1000 40 1 "Pairwise" 0.7 10 1
122 100 1000 40 1 "Pairwise" 0.7 10 2
123 100 1000 40 1 "Pairwise" 0.7 10 5
124 100 1000 40 1 "Pairwise" 0.9 100 5
125 100 1000 40 1 "Pairwise" 0.9 10 1
126 100 1000 40 1 "Pairwise" 0.9 10 2
127 100 1000 40 1 "Pairwise" 0.9 10 5
128 100 1000 40 2 "Independence" 0 0 0
129 100 1000 40 2 "Pairwise" 0.5 100 5
130 100 1000 40 2 "Pairwise" 0.5 10 1
131 100 1000 40 2 "Pairwise" 0.5 10 2
132 100 1000 40 2 "Pairwise" 0.5 10 5
133 100 1000 40 2 "Pairwise" 0.7 100 5
134 100 1000 40 2 "Pairwise" 0.7 10 1
135 100 1000 40 2 "Pairwise" 0.7 10 2
136 100 1000 40 2 "Pairwise" 0.7 10 5
137 100 1000 40 2 "Pairwise" 0.9 100 5
138 100 1000 40 2 "Pairwise" 0.9 10 1
139 100 1000 40 2 "Pairwise" 0.9 10 2
140 100 1000 40 2 "Pairwise" 0.9 10 5
141 100 1000 40 4 "Independence" 0 0 0
142 100 1000 40 4 "Pairwise" 0.5 100 5
143 100 1000 40 4 "Pairwise" 0.5 10 1
144 100 1000 40 4 "Pairwise" 0.5 10 2
145 100 1000 40 4 "Pairwise" 0.5 10 5
146 100 1000 40 4 "Pairwise" 0.7 100 5
147 100 1000 40 4 "Pairwise" 0.7 10 1
148 100 1000 40 4 "Pairwise" 0.7 10 2
149 100 1000 40 4 "Pairwise" 0.7 10 5
150 100 1000 40 4 "Pairwise" 0.9 100 5
151 100 1000 40 4 "Pairwise" 0.9 10 1
152 100 1000 40 4 "Pairwise" 0.9 10 2
153 100 1000 40 4 "Pairwise" 0.9 10 5
154 100 2000 10 0.5 "Independence" 0 0 0
155 100 2000 10 1 "Independence" 0 0 0
156 100 2000 10 1 "Pairwise" 0.5 100 1
157 100 2000 10 1 "Pairwise" 0.5 100 2
158 100 2000 10 1 "Pairwise" 0.5 100 5
159 100 2000 10 1 "Pairwise" 0.5 10 1
160 100 2000 10 1 "Pairwise" 0.5 10 2
161 100 2000 10 1 "Pairwise" 0.5 10 5
162 100 2000 10 1 "Pairwise" 0.7 100 1
163 100 2000 10 1 "Pairwise" 0.7 100 2
164 100 2000 10 1 "Pairwise" 0.7 100 5
165 100 2000 10 1 "Pairwise" 0.7 10 1
166 100 2000 10 1 "Pairwise" 0.7 10 2
167 100 2000 10 1 "Pairwise" 0.7 10 5
168 100 2000 10 1 "Pairwise" 0.9 100 1
169 100 2000 10 1 "Pairwise" 0.9 100 2
170 100 2000 10 1 "Pairwise" 0.9 100 5
171 100 2000 10 1 "Pairwise" 0.9 10 1
172 100 2000 10 1 "Pairwise" 0.9 10 2
173 100 2000 10 1 "Pairwise" 0.9 10 5
174 100 2000 10 1 "Toeplitz" 0.7 100 2
175 100 2000 10 2 "Independence" 0 0 0
176 100 2000 10 2 "Pairwise" 0.5 100 1
177 100 2000 10 2 "Pairwise" 0.5 100 2
178 100 2000 10 2 "Pairwise" 0.5 100 5
179 100 2000 10 2 "Pairwise" 0.5 10 1
180 100 2000 10 2 "Pairwise" 0.5 10 2
181 100 2000 10 2 "Pairwise" 0.5 10 5
182 100 2000 10 2 "Pairwise" 0.7 100 1
183 100 2000 10 2 "Pairwise" 0.7 100 2
184 100 2000 10 2 "Pairwise" 0.7 100 5
185 100 2000 10 2 "Pairwise" 0.7 10 1
186 100 2000 10 2 "Pairwise" 0.7 10 2
187 100 2000 10 2 "Pairwise" 0.7 10 5
188 100 2000 10 2 "Pairwise" 0.9 100 1
189 100 2000 10 2 "Pairwise" 0.9 100 2
190 100 2000 10 2 "Pairwise" 0.9 100 5
191 100 2000 10 2 "Pairwise" 0.9 10 1
192 100 2000 10 2 "Pairwise" 0.9 10 2
193 100 2000 10 2 "Pairwise" 0.9 10 5
194 100 2000 10 2 "Toeplitz" 0.7 100 2
195 100 2000 10 4 "Independence" 0 0 0
196 100 2000 10 4 "Pairwise" 0.5 100 1
197 100 2000 10 4 "Pairwise" 0.5 100 2
198 100 2000 10 4 "Pairwise" 0.5 100 5
199 100 2000 10 4 "Pairwise" 0.5 10 1
200 100 2000 10 4 "Pairwise" 0.5 10 2
201 100 2000 10 4 "Pairwise" 0.5 10 5
202 100 2000 10 4 "Pairwise" 0.7 100 1
203 100 2000 10 4 "Pairwise" 0.7 100 2
204 100 2000 10 4 "Pairwise" 0.7 100 5
205 100 2000 10 4 "Pairwise" 0.7 10 1
206 100 2000 10 4 "Pairwise" 0.7 10 2
207 100 2000 10 4 "Pairwise" 0.7 10 5
208 100 2000 10 4 "Pairwise" 0.9 100 1
209 100 2000 10 4 "Pairwise" 0.9 100 2
210 100 2000 10 4 "Pairwise" 0.9 100 5
211 100 2000 10 4 "Pairwise" 0.9 10 1
212 100 2000 10 4 "Pairwise" 0.9 10 2
213 100 2000 10 4 "Pairwise" 0.9 10 5
214 100 2000 10 4 "Toeplitz" 0.7 100 2
215 100 2000 20 0.5 "Independence" 0 0 0
216 100 2000 20 1 "Independence" 0 0 0
217 100 2000 20 1 "Pairwise" 0.5 100 1
218 100 2000 20 1 "Pairwise" 0.5 100 2
219 100 2000 20 1 "Pairwise" 0.5 100 5
220 100 2000 20 1 "Pairwise" 0.5 10 1
221 100 2000 20 1 "Pairwise" 0.5 10 2
222 100 2000 20 1 "Pairwise" 0.5 10 5
223 100 2000 20 1 "Pairwise" 0.7 100 1
224 100 2000 20 1 "Pairwise" 0.7 100 2
225 100 2000 20 1 "Pairwise" 0.7 100 5
226 100 2000 20 1 "Pairwise" 0.7 10 1
227 100 2000 20 1 "Pairwise" 0.7 10 2
228 100 2000 20 1 "Pairwise" 0.7 10 5
229 100 2000 20 1 "Pairwise" 0.9 100 1
230 100 2000 20 1 "Pairwise" 0.9 100 2
231 100 2000 20 1 "Pairwise" 0.9 100 5
232 100 2000 20 1 "Pairwise" 0.9 10 1
233 100 2000 20 1 "Pairwise" 0.9 10 2
